Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mesures.json	12129	-	0	0	0	0	0	0	7	61	0	0	0	0	0	0	0	0	0	0	108	118	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bmi.json	3158	14	0	0	0	1	0	500	1	325	0	0	1	0	0	0	0	2	0	0	574	4057	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-temperature.json	5536	17	0	0	0	0	0	385	0	327	0	0	0	0	0	0	0	1	0	0	636	2624	0	0	0	16	1	2
fsh-generated/resources/Observation-ExampleMesObservationHeadCircumference001.json	855	9	0	0	0	0	0	0	0	5912	0	0	0	0	0	0	0	0	0	0	7	11	0	1	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationGlucose001.json	2554	11	0	0	0	0	0	0	1	3006	0	0	0	0	0	0	0	0	0	0	77	8	0	0	0	0	0	0
fsh-generated/resources/Patient-ExamplefrPatient001.json	1062	10	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mesures-reason-for-measurement.json	1509	10	1	0	0	0	0	23	0	17	0	0	0	0	0	0	0	0	0	0	39	194	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-mesures-observation-head-circumference.json	5976	18	0	0	0	0	0	241	1	290	0	0	0	0	0	0	0	1	0	0	509	1727	0	0	0	13	0	1
fsh-generated/resources/Device-phd-74E8FFFEFF051C00.json	3916	14	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bp.json	6509	26	0	0	0	0	0	554	0	521	0	0	0	0	0	0	0	2	0	0	965	3697	0	0	0	25	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-weight.json	4257	22	1	0	0	0	0	261	0	274	0	0	1	0	0	0	0	1	0	0	511	1971	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-heartrate.json	5738	16	0	0	1	0	0	284	0	271	0	0	0	0	0	0	0	2	0	0	596	2119	0	0	0	16	1	1
fsh-generated/resources/StructureDefinition-mesures-bundle-flux-alimentation.json	4519	16	0	0	0	0	0	378	0	201	0	0	0	0	0	0	0	0	0	0	458	1436	0	0	0	12	0	1
fsh-generated/resources/Observation-ExampleMesFrObservationBodyWeight001.json	1205	10	0	0	0	0	0	0	0	7991	0	0	0	0	0	0	0	1	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationHeartrate001.json	860	11	1	0	0	0	0	0	0	2906	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationStepsByDay001.json	1054	13	0	0	0	0	0	0	0	4301	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyTemperature001.json	858	9	0	0	0	0	0	0	0	1840	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
