Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mesures.json	13589	-	0	0	0	0	0	0	4	54	0	0	0	0	0	0	0	1	0	0	164	126	0	0	0	5	0	0
fsh-generated/resources/Device-phd-74E8FFFEFF051C00.json	3916	23	0	0	0	1	0	0	0	469	0	0	0	0	0	0	0	0	0	0	37	26	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBP001.json	2669	12	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	19	25	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBmi001.json	1064	6	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyHeight001.json	823	5	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyTemperature001.json	858	5	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyWeight001.json	1205	6	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationHeartrate001.json	860	5	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	19	7	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrOxygenSat.json	963	5	1	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationGlucose001.json	2554	8	0	0	0	0	0	0	1	137	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationHeadCircumference001.json	855	5	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	1
fsh-generated/resources/Observation-ExampleMesObservationPainSeverity001.json	1037	5	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationStepsByDay001.json	1054	5	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	26	7	0	0	0	0	0	0
