Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mesures.json	13829	-	0	0	0	0	0	0	4	60	0	0	0	0	0	0	0	0	0	0	163	151	0	0	0	6	0	2
fsh-generated/resources/Device-phd-74E8FFFEFF051C00.json	3916	16	0	0	0	1	0	0	0	481	0	0	0	0	0	0	0	0	0	0	37	26	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBP001.json	2669	13	1	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	25	34	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBmi001.json	1064	9	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyHeight001.json	823	7	0	0	0	0	0	0	1	68	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyTemperature001.json	858	9	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	1	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyWeight001.json	1205	9	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationHeartrate001.json	860	11	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrOxygenSat.json	963	8	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrRespRate.json	809	7	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationGlucose001.json	2554	9	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	22	20	0	0	0	0	0	1
fsh-generated/resources/Observation-ExampleMesObservationHeadCircumference001.json	855	8	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationPainSeverity001.json	1037	7	0	0	0	0	0	0	1	69	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationStepsByDay001.json	1054	8	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationWaistCircumference001.json	1057	7	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/Patient-ExamplefrPatient001.json	1062	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	15	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ExampleFrPractitionner001.json	627	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mesures-bundle-flux-alimentation.json	4684	11	1	0	0	0	0	717	0	226	0	0	0	0	0	0	0	2	0	0	606	5187	0	0	0	13	0	4
fsh-generated/resources/StructureDefinition-mesures-diabetis-type.json	1582	10	0	0	0	0	0	18	0	28	0	0	0	0	0	0	0	0	0	0	52	183	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bmi.json	3514	10	0	0	0	0	0	290	0	295	0	0	1	0	0	0	0	1	0	0	704	1286	0	0	0	18	1	3
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-temperature.json	5051	12	0	0	0	0	0	254	0	249	0	0	0	0	0	0	0	1	0	0	726	917	0	0	0	17	0	3
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-weight.json	4293	11	0	0	0	0	0	207	0	203	0	0	0	0	0	0	0	1	0	0	594	904	0	0	0	16	0	2
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bodyheight.json	4233	11	0	0	0	0	0	214	0	210	0	0	0	0	0	0	0	1	0	0	595	873	0	1	0	15	0	2
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bp.json	6163	13	0	0	0	0	0	363	1	402	0	0	1	0	0	0	0	2	0	0	1032	1576	0	0	0	29	1	4
fsh-generated/resources/StructureDefinition-mesures-fr-observation-heartrate.json	5755	13	0	0	0	0	0	231	0	237	0	0	0	0	0	0	0	2	0	0	696	832	0	0	0	18	0	2
fsh-generated/resources/StructureDefinition-mesures-fr-observation-oxygen-sat.json	3733	10	0	0	0	0	0	203	0	203	0	0	0	0	0	0	0	1	0	0	634	621	0	0	0	17	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-resp-rate.json	3157	10	0	0	0	0	0	233	0	179	0	0	0	0	0	0	0	1	0	0	519	469	0	0	0	13	0	2
fsh-generated/resources/StructureDefinition-mesures-moment-of-measurement.json	1877	9	1	0	0	0	0	33	0	30	0	0	0	0	0	0	0	0	0	0	104	91	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-mesures-number-of-days.json	1816	8	0	0	0	0	0	16	0	13	0	0	0	0	0	0	0	0	0	0	50	62	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-mesures-observation-glucose.json	9828	17	0	0	0	0	0	234	0	241	0	0	1	0	0	0	0	1	0	0	771	562	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-mesures-observation-head-circumference.json	5228	12	0	0	0	0	0	166	0	201	0	0	0	0	0	0	0	1	0	0	513	407	0	0	0	13	1	1
fsh-generated/resources/StructureDefinition-mesures-observation-pain-severity.json	5147	13	0	0	0	0	0	179	0	182	0	0	0	0	0	0	0	1	0	0	582	409	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-mesures-observation-steps-by-day.json	6490	14	0	0	0	0	0	188	0	189	0	0	0	0	0	0	0	1	0	0	589	455	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-mesures-observation-waist-circumference.json	5959	13	0	0	0	0	0	194	0	196	0	0	0	0	0	0	0	1	0	0	576	438	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-mesures-reason-for-measurement.json	1658	12	0	0	0	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	48	57	0	0	0	1	0	0
fsh-generated/resources/ValueSet-method-glucose-vs.json	597	8	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	8	4716	0	0	0	1	0	0
