Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mesures.json	11845	-	0	1	0	0	0	0	9	70	0	0	0	0	0	0	0	0	0	0	129	170	0	0	0	3	0	1
fsh-generated/resources/Practitioner-ExampleFrPractitionner001.json	627	11	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/Patient-ExamplefrPatient001.json	1062	10	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyTemperature001.json	858	9	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mesures-observation-pain-severity.json	5870	22	1	0	0	0	0	413	1	390	0	0	1	0	0	0	0	2	0	0	624	4369	0	0	0	15	1	1
fsh-generated/resources/StructureDefinition-mesures-number-of-days.json	1651	12	0	0	0	0	0	26	0	23	0	0	0	0	0	0	0	0	0	0	55	339	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bp.json	6509	22	0	0	0	0	0	612	0	633	0	0	0	0	0	0	0	3	0	0	984	4113	0	1	0	26	0	2
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bmi.json	3158	14	0	0	0	0	0	297	0	284	0	0	0	0	0	0	0	2	0	0	675	2453	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-temperature.json	5536	19	0	0	0	0	0	334	0	318	0	0	0	0	0	0	0	1	0	0	624	2230	0	0	0	16	1	2
fsh-generated/resources/Observation-ExampleMesFrObservationBmi001.json	1064	10	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	8	7	0	0	1	0	0	0
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-weight.json	4257	15	0	0	0	0	0	310	0	330	0	0	0	0	0	0	0	2	0	0	509	1848	0	0	0	14	0	1
fsh-generated/resources/Observation-ExampleMesFrObservationHeartrate001.json	860	10	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mesures-moment-of-measurement.json	1843	18	0	0	0	0	0	60	0	43	0	0	0	0	0	0	0	0	0	0	85	257	0	0	0	3	0	0
fsh-generated/resources/Observation-ExampleMesObservationPainSeverity001.json	1037	15	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mesures-fr-observation-heartrate.json	5738	17	0	0	0	0	0	374	0	305	0	0	1	0	0	0	0	2	0	0	601	2066	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-mesures-reason-for-measurement.json	1509	11	0	0	1	0	0	25	0	17	0	0	0	0	0	0	0	0	0	0	36	127	0	0	0	1	0	0
fsh-generated/resources/Observation-ExampleMesObservationStepsByDay001.json	1054	10	1	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
