Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mesures.json	13033	-	0	0	1	0	0	0	3	52	0	0	0	0	0	0	0	1	0	0	156	130	0	0	0	6	0	2
fsh-generated/resources/Device-phd-74E8FFFEFF051C00.json	3916	24	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	26	26	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBP001.json	2669	20	0	0	0	0	0	0	1	215	0	0	0	0	0	0	0	0	0	0	19	22	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBmi001.json	1064	17	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyHeight001.json	823	17	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyTemperature001.json	858	16	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyWeight001.json	1205	18	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationHeartrate001.json	860	17	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrOxygenSat.json	963	16	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationGlucose001.json	2554	18	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	23	13	0	0	0	0	0	1
fsh-generated/resources/Observation-ExampleMesObservationHeadCircumference001.json	855	16	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationPainSeverity001.json	1037	18	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationStepsByDay001.json	1054	16	1	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationWaistCircumference001.json	1057	17	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/Patient-ExamplefrPatient001.json	1062	17	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	1	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ExampleFrPractitionner001.json	627	8	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mesures-bundle-flux-alimentation.json	4684	11	0	0	0	0	0	590	0	224	0	0	1	0	0	0	0	2	0	0	557	3476	0	0	0	13	0	3
fsh-generated/resources/StructureDefinition-mesures-diabetis-type.json	1582	7	0	0	0	0	0	18	0	15	0	0	0	0	0	0	0	0	0	0	52	166	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bmi.json	3514	9	0	0	0	0	0	233	0	246	0	0	0	0	0	0	0	2	0	0	637	1065	0	0	0	19	0	4
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-temperature.json	5051	12	0	0	0	0	0	226	0	292	0	0	0	0	0	0	0	2	0	0	651	939	0	0	0	18	0	2
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-weight.json	4293	12	1	0	0	0	0	215	0	182	0	0	0	0	0	0	0	2	0	0	582	854	0	0	0	17	1	2
