Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mesures.json	11713	-	0	0	0	0	0	0	4	502	0	0	0	0	0	0	0	1	0	0	158	250	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-mesures-observation-pain-severity.json	5870	314	1	0	1	0	0	2389	0	2283	0	0	0	0	0	0	0	2	0	0	566	4939	0	0	0	16	0	2
fsh-generated/resources/Observation-ExampleMesObservationPainSeverity001.json	1037	5	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	12	30	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bodyheight.json	4098	131	0	0	0	0	0	2222	0	2139	0	0	1	0	0	0	0	2	0	0	549	2574	0	0	0	15	0	2
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-temperature.json	5536	225	0	0	0	0	0	2798	0	2658	0	0	0	0	0	0	0	2	0	0	629	2919	0	0	0	18	1	3
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-weight.json	4257	146	0	0	0	0	0	2181	0	2138	0	0	0	0	0	0	0	1	0	0	584	2316	0	0	0	15	0	2
fsh-generated/resources/StructureDefinition-mesures-observation-head-circumference.json	5788	246	0	0	0	0	0	2052	0	2030	0	0	0	0	0	0	0	2	0	0	481	1970	0	0	0	14	0	1
fsh-generated/resources/Observation-ExampleMesFrObservationBodyHeight001.json	823	7	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	10	17	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBP001.json	2669	7	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	18	22	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mesures-observation-glucose.json	9937	494	0	0	0	0	0	3075	0	3031	0	0	1	0	0	0	0	2	0	0	652	2543	0	1	0	20	0	1
fsh-generated/resources/Practitioner-ExampleFrPractitionner001.json	627	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	8	18	0	0	0	0	0	0
