Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mesures.json	21553	-	0	0	0	0	0	0	17	69	0	0	0	0	0	0	0	1	0	0	120	191	0	0	0	5	0	1
fsh-generated/resources/Bundle-example-mes-fr-bundle-bio-003.json	15096	13	19	0	0	0	0	0	2	4540	0	0	0	0	0	0	0	0	0	0	61	129	0	0	1	0	0	1
fsh-generated/resources/Bundle-example-mes-fr-bundle-body-weight.json	3487	7	9	0	0	0	0	0	1	2259	0	0	0	0	0	0	0	0	0	0	23	31	0	0	0	0	0	0
fsh-generated/resources/Device-example-mes-fr-phd-device-001.json	3925	6	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	20	28	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-example-mes-fr-diagnostic-report-cholesterol-003.json	896	8	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	36	0	0	0	0	0	0
fsh-generated/resources/Observation-645f7341-715f-44fb-87e9-93f2e7d125a5.json	2049	5	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	16	29	0	0	0	0	0	0
fsh-generated/resources/Observation-7b166d82-27b6-4878-9765-3fe101618edf.json	1905	6	0	0	0	0	0	0	1	254	0	0	0	0	0	0	0	0	0	0	15	22	0	0	0	0	0	0
fsh-generated/resources/Observation-8057b6ec-1417-4f1f-9a00-b0c46e7e71b1.json	2226	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	0
fsh-generated/resources/Observation-9bd2b013-27b0-4283-aa9e-fe7a5e0c6f1e.json	1906	5	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/Observation-b7a049e3-c07e-4e1c-95a5-909da37f75ce.json	2046	6	0	0	0	0	0	0	1	263	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/Observation-example-mes-fr-observation-bmi-001.json	1076	6	0	0	0	0	0	0	0	1396	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0
fsh-generated/resources/Observation-example-mes-fr-observation-body-height-001.json	836	6	0	0	0	0	0	0	0	1309	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/Observation-example-mes-fr-observation-body-temperature-001.json	871	6	0	0	0	0	0	0	0	1269	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/Observation-example-mes-fr-observation-body-weight-001.json	1218	5	0	0	0	0	0	0	0	796	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/Observation-example-mes-fr-observation-bp-001.json	2674	6	0	0	0	0	0	0	1	1305	0	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0
