Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mesures.json	13643	-	0	0	0	0	0	0	13	66	0	0	0	0	0	0	0	0	0	0	113	177	0	0	0	4	0	0
fsh-generated/resources/Bundle-bundle-example.json	3436	10	15	0	0	0	0	0	1	1860	0	0	0	0	0	0	0	1	0	0	32	34	0	0	0	0	0	0
fsh-generated/resources/Device-phd-74E8FFFEFF051C00.json	3916	9	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	29	29	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBP001.json	2655	7	0	0	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	26	31	0	0	0	0	0	1
fsh-generated/resources/Observation-ExampleMesFrObservationBmi001.json	1064	6	0	0	0	0	0	0	1	515	0	0	0	0	0	0	0	0	0	0	23	26	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyHeight001.json	823	8	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	22	23	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyTemperature001.json	858	6	0	0	0	0	0	0	0	548	0	0	0	0	0	0	0	0	0	0	21	25	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyWeight001.json	1205	6	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	24	24	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationHeartrate001.json	860	6	0	0	0	0	0	0	1	678	0	0	0	0	0	0	0	0	0	0	22	25	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrOxygenSat.json	865	6	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	22	21	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrRespRate.json	809	6	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	23	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationGlucose001.json	2214	7	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	25	22	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationHeadCircumference001.json	935	6	0	0	0	0	0	0	0	393	0	0	0	0	0	0	0	0	0	0	22	16	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationPainSeverity001.json	1037	6	0	0	0	0	0	0	1	559	0	0	0	0	0	0	0	0	0	0	19	12	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationStepsByDay001.json	1054	6	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationWaistCircumference001.json	1057	6	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
fsh-generated/resources/Patient-ExamplefrPatient001.json	1062	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	29	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ExampleFrPractitionner001.json	627	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mesures-bundle-flux-alimentation.json	4243	6	0	573	1	0	0	0	0	60	0	0	1	0	0	0	0	2	0	0	266	1462	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bmi.json	2058	8	0	72	0	0	0	0	0	40	0	0	0	0	0	0	0	1	0	0	276	956	0	0	0	9	0	2
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-temperature.json	4342	6	0	76	0	0	0	0	0	1612	0	0	0	0	0	0	0	1	0	0	323	1601	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-weight.json	3588	7	0	57	0	0	0	0	0	50	0	0	1	0	0	0	0	1	0	0	278	1039	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bodyheight.json	3719	6	0	74	0	0	0	0	0	33	0	0	0	0	0	0	0	1	0	0	332	772	0	1	0	10	1	0
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bp.json	4356	7	0	65	1	0	0	0	0	60	0	0	0	0	0	0	0	2	0	0	397	1319	0	0	0	23	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-heartrate.json	3925	6	0	51	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	244	1339	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-oxygen-sat.json	2829	6	0	53	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	234	589	0	0	0	14	1	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-resp-rate.json	2254	6	0	81	0	0	0	0	0	23	0	0	1	0	0	0	0	1	0	0	234	575	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-mesures-moment-of-measurement.json	1758	7	0	34	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	55	137	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-mesures-number-of-days.json	1697	7	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	33	90	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-mesures-observation-glucose.json	8351	7	0	23	0	0	0	0	1	58	0	0	0	0	0	0	0	2	0	0	287	586	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-mesures-observation-head-circumference.json	4803	6	0	67	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	209	633	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-mesures-observation-pain-severity.json	5291	7	0	20	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	240	1925	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-mesures-observation-steps-by-day.json	6174	7	0	18	1	0	0	0	0	25	0	0	1	0	0	0	0	1	0	0	240	751	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-mesures-observation-waist-circumference.json	5639	7	0	19	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	238	355	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-mesures-reason-for-measurement.json	1539	6	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	33	62	0	0	0	0	0	0
fsh-generated/resources/ValueSet-method-glucose-vs.json	597	6	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	13	3635	0	0	0	1	0	0
