Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mesures.json	13680	-	0	0	0	0	0	0	14	93	0	0	0	0	0	0	0	0	0	0	104	177	0	0	0	5	0	0
fsh-generated/resources/Bundle-bundle-example.json	3436	16	16	0	0	0	0	0	0	1761	0	0	0	0	0	0	0	0	0	0	22	32	0	0	0	0	0	0
fsh-generated/resources/Device-phd-74E8FFFEFF051C00.json	3916	14	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	21	24	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBP001.json	2655	13	0	0	0	0	0	0	1	376	0	0	0	0	0	0	0	1	0	0	17	31	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBmi001.json	1064	13	0	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyHeight001.json	823	13	0	0	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	13	20	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyTemperature001.json	858	11	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	11	22	0	0	0	0	0	1
fsh-generated/resources/Observation-ExampleMesFrObservationBodyWeight001.json	1205	12	0	0	0	0	0	0	1	250	0	0	0	0	0	0	0	0	0	0	13	22	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationHeartrate001.json	860	12	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	12	22	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrOxygenSat.json	865	12	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	13	22	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrRespRate.json	809	7	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	11	21	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationGlucose001.json	2214	5	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationHeadCircumference001.json	837	5	0	0	0	0	0	0	1	194	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationPainSeverity001.json	1037	5	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationStepsByDay001.json	1054	6	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationWaistCircumference001.json	1057	4	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	18	15	0	0	1	0	0	0
fsh-generated/resources/Patient-ExamplefrPatient001.json	1062	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ExampleFrPractitionner001.json	627	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mesures-bundle-flux-alimentation.json	4243	6	0	790	1	0	0	0	1	69	0	0	0	0	0	0	0	2	0	0	276	1398	0	0	0	14	1	0
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bmi.json	2058	6	0	78	0	0	0	0	0	39	0	0	1	0	0	0	0	1	0	0	263	927	0	0	0	15	0	3
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-temperature.json	4342	6	0	99	0	0	0	0	0	48	0	0	0	0	0	0	0	1	0	0	322	4303	0	0	0	18	0	0
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-weight.json	3588	10	0	79	0	0	0	0	0	44	0	0	0	0	0	0	0	2	0	0	246	7194	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bodyheight.json	3973	9	0	76	0	0	1	0	0	42	0	0	0	0	0	0	0	1	0	0	247	3813	0	0	0	22	1	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bp.json	4356	5	0	80	0	0	0	0	0	75	0	0	1	0	0	0	0	2	0	0	366	4640	0	0	0	29	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-heartrate.json	3925	6	0	77	0	0	0	0	0	43	0	0	0	0	0	0	0	1	0	0	247	6378	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-oxygen-sat.json	2829	5	0	60	1	0	0	0	1	51	0	0	0	0	0	0	0	1	0	0	237	2043	0	0	0	18	1	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-resp-rate.json	2254	6	0	46	0	0	0	0	0	33	0	0	0	0	0	0	0	1	0	0	201	549	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-mesures-moment-of-measurement.json	1758	5	0	7	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	58	123	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-mesures-number-of-days.json	1697	5	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	34	85	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-mesures-observation-glucose.json	8351	8	0	25	0	0	0	0	0	77	0	0	1	0	0	0	0	2	0	0	298	11948	0	1	0	19	0	1
